70 30
130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130
130 130 130 130 130 130 130 398 399 403 404 401 403 404 406 398 399 401 403 404 410 411 398 399 410 411 403 404 398 399 410 411 130 130 130 130 130 130 130 130 130 130 403 404 398 399 403 404 401 410 411 403 404 398 399 403 404 406 398 399 403 359 360 411 130 130 130 130 130 130
130 130 130 130 130 130 524 462 463 467 468 465 467 468 470 462 463 465 467 468 474 475 462 463 474 475 467 468 462 463 474 475 542 130 130 130 130 130 130 130 130 524 467 468 462 463 467 468 465 474 475 467 468 462 463 467 468 470 462 463 467 423 424 359 130 130 130 130 130 130
130 130 322 323 389 390 522 526 527 -1 -1 -1 -1 -1 534 526 527 -1 -1 -1 -1 -1 526 527 -1 -1 -1 -1 526 527 -1 -1 420 421 130 130 130 130 130 130 1170 1171 -1 -1 526 527 -1 -1 -1 -1 -1 -1 -1 526 527 -1 -1 534 526 527 -1 487 488 423 424 359 360 130 130 130
130 130 386 387 453 454 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 484 485 542 130 130 130 130 130 1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 487 488 423 424 359 360 130
130 524 450 451 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308 130 130 130 130 1358 1359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 487 488 423 424 130
1358 1359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372 130 130 130 130 130 1292 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 487 488 130
1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1310 130 130 130 130 130 130 1356 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1175 1176
130 1292 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1374 130 130 130 130 130 130 1484 1493 1494 1491 1496 1497 642 643 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308
130 1356 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 729 730 721 -1 -1 -1 -1 -1 -1 1310 130 130 130 130 130 130 1548 1557 1558 1555 1560 1561 706 707 648 649 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372
