80 40
130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130
130 130 130 130 130 130 130 322 323 398 399 403 404 398 399 403 404 398 399 410 411 403 404 403 404 398 399 403 404 410 411 398 399 410 411 406 403 404 403 404 398 399 410 411 403 404 359 360 130 130 130 322 323 406 403 404 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 398 399 130 130 130 130
130 130 130 130 130 322 323 386 387 462 463 467 468 462 463 467 468 462 463 474 475 467 468 467 468 462 463 467 468 474 475 462 463 474 475 470 467 468 467 468 462 463 474 475 467 468 423 424 130 130 130 386 387 470 467 468 542 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 322 524 462 463 542 130 130 130
130 130 130 130 130 386 387 450 451 526 527 -1 -1 526 527 -1 -1 526 527 -1 -1 -1 -1 -1 -1 526 527 -1 -1 -1 -1 526 527 -1 -1 534 -1 -1 -1 -1 526 527 -1 -1 -1 -1 487 488 542 130 524 450 451 534 -1 -1 420 421 359 360 130 130 130 130 130 130 130 130 130 130 322 323 389 390 526 527 420 421 130 130
130 130 322 323 524 450 451 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308 1292 -1 -1 -1 -1 -1 484 485 423 424 410 411 398 399 410 411 398 399 403 404 386 387 453 454 -1 -1 484 485 542 130
130 130 386 387 453 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372 1356 -1 -1 -1 -1 -1 -1 -1 487 488 474 475 462 463 474 475 462 463 467 468 450 451 -1 -1 -1 -1 -1 -1 1307 1308
130 524 450 451 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1310 1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 526 527 -1 -1 526 527 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372
130 1292 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 729 730 1491 720 721 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1374 1358 1359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308
130 1356 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 544 474 470 475 522 -1 -1 -1 -1 -1 -1 729 730 1499 1500 1486 1487 1493 1494 1486 1487 1502 130 720 721 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372
1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 534 -1 -1 -1 -1 -1 -1 -1 -1 793 794 1563 1564 1550 1551 1557 1558 1550 1551 1566 130 784 785 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1310 130
