40 30
130 131 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130
194 195 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 194 403 398 399 194 194 194 194 194 194 194 194 194 359 360 194 130
322 323 403 404 410 411 410 411 403 404 410 404 411 411 408 403 404 410 398 399 411 411 386 387 467 462 463 416 418 404 410 411 403 404 396 394 423 424 130 130
386 387 467 468 474 475 474 475 467 468 474 468 475 475 472 467 468 474 462 463 475 475 450 451 -1 -1 -1 480 482 468 474 475 467 468 465 458 487 488 423 1372
450 451 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1175 1372
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1178 1372
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372
1496 1497 1493 1494 1491 1486 1487 1499 1500 1486 1487 1493 1496 1497 1486 1487 1493 648 649 -1 -1 -1 -1 -1 -1 -1 679 680 1496 1497 1486 1487 1497 1491 1496 1497 1499 1499 1500 1502
1560 1561 1557 1558 1555 1550 1551 1563 1564 1550 1551 1557 1560 1561 1550 1551 1557 712 713 716 -1 -1 -1 -1 998 999 743 744 1560 1561 1550 1551 1561 1555 1560 1561 1563 1563 1564 1566
130 130 130 130 130 149 84 149 84 85 194 130 131 84 194 130 130 776 1294 1295 -1 -1 -1 -1 -1 1063 1064 1065 807 130 131 130 131 808 84 85 84 85 85 85
149 84 85 194 130 194 148 194 148 149 194 145 146 131 130 130 131 131 1358 961 962 963 964 -1 -1 -1 -1 1178 1179 194 195 194 195 85 130 130 131 85 130 131
194 148 149 194 145 131 131 131 131 131 194 209 210 84 85 194 195 130 131 1025 1026 1027 1028 1028 -1 -1 -1 1307 1308 130 148 149 84 85 194 130 131 84 194 195
149 84 85 194 130 131 145 146 131 195 131 195 194 148 149 130 131 194 195 394 -1 -1 -1 -1 -1 -1 -1 1371 1372 194 194 194 148 149 194 145 146 131 130 131
194 148 149 194 145 146 209 210 194 131 84 194 194 194 130 194 130 131 1164 1165 -1 -1 -1 -1 -1 -1 -1 1307 1308 84 130 131 131 131 194 209 210 84 85 195
131 131 131 194 209 210 84 85 130 194 131 130 130 194 130 131 130 131 1167 1168 -1 -1 -1 968 968 969 -1 1371 1372 148 194 195 131 195 131 195 194 148 149 85
195 131 195 131 195 194 148 149 85 130 84 85 85 194 194 195 194 195 1170 1171 -1 -1 -1 -1 -1 -1 -1 1181 1182 148 130 131 195 131 195 131 131 194 130 131
131 195 131 195 131 403 404 406 410 411 403 404 398 399 130 403 404 408 524 969 -1 592 -1 -1 -1 -1 -1 1310 130 130 130 131 195 195 195 84 85 194 194 195
131 195 195 130 131 467 468 470 474 475 467 468 462 463 474 467 468 472 456 1028 -1 -1 -1 -1 -1 -1 -1 1374 130 130 194 130 130 145 146 148 149 194 195 131
130 145 146 389 390 -1 -1 534 -1 -1 -1 -1 526 527 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1307 1308 130 130 194 194 209 210 194 194 195 130 131
194 209 210 453 454 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 968 968 969 -1 -1 -1 -1 1371 1372 130 130 131 195 194 195 130 194 195 130 131
131 1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1310 130 130 130 131 130 145 146 130 194 195 130 131
136 1358 1359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1374 130 130 130 145 146 209 210 130 194 195 130 131
131 1167 1168 -1 -1 -1 -1 -1 968 968 969 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1310 130 130 130 209 210 130 194 130 194 145 146 131
131 1164 1165 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1374 130 130 130 130 194 145 146 130 194 209 210 131
195 1294 1295 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 968 969 969 -1 1307 1308 130 130 131 131 209 210 131 195 85 130 131
136 1358 912 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1371 1372 130 130 131 195 195 195 195 131 85 130 131
145 146 712 1489 1489 1487 1491 1493 1494 1486 1487 1496 1497 1499 1500 1486 1487 1499 720 721 -1 -1 -1 -1 -1 -1 -1 1310 130 130 130 145 146 130 130 131 195 131 131 131
209 210 776 776 777 1551 1555 1557 1558 1550 1551 1560 1561 1563 1564 1550 1551 1563 784 785 -1 -1 -1 -1 -1 -1 -1 1374 130 130 194 209 210 194 194 195 195 195 195 195
